;-------------------------------------------------,,
;0-199 기본소질,,
;-------------------------------------------------,,
0,처녀,
1,동정,

9,붕괴,;매각 금액이 크게 감소한다. 영업에서 고객 만족도가 내려간다.

;성격,,
10,겁쟁이,;ABL:순종이 올라가기 쉽다. PALAM:반감이 느리게 증가한다.
11,반항적,;커맨드를 실행하기 어렵다. 매각시 순종4 이상 필요. PALAM:온순 및 욕정이 느리게 증가한다.
12,굳건함,;커맨드를 실행하기 어렵다. 매각시 순종4 이상 필요. 
13,솔직,;커맨드를 실행하기 쉽다. ;ABL:순종과 봉사를 올리기 쉽다. PALAM:온순이 빠르게 증가한다.
14,얌전함,;PALAM:반감이 느리게 증가한다. 
15,프라이드높음,;커맨드를 실행하기 어렵다. ABL:기교와 봉사정신을 올리기 어렵다. PALAM:굴복이 느리게 증가한다. 
16,시건방짐,;ABL:순종과 봉사정신을 올리기 어렵다. 
17,프라이드낮음,;커맨드를 실행하기 쉽다. ABL:봉사정신을 올리기 쉽다. PALAM:굴복이 빠르게 증가한다. 
18,츤데레,;반항적을 지니고 있는 동시에 순종4 이상일 경우 반항적이 솔직으로 변경

;야한것에 대한 관심,,
20,자제심,;매각시 욕망4 이상 필요. ABL:봉사정신을 올리기 어렵다. 쾌락계 PALAM가 느리게 증가한다. 
21,무관심,;ABL:봉사정신을 올리기 어렵다. PALAM:온순, 욕정, 굴복, 공포, 반감이 느리게 증가한다.
22,감정부족,;ABL:봉사정신을 올리기 어렵다. PALAM가 전체적으로 느리게 증가한다. 
23,호기심,;커맨드를 실행하기 쉽다. PALAM:습득이 빠르게 증가한다. 
24,보수적,;커맨드를 실행하기 어렵다. ABL:봉사정신을 올리기 어렵다. PALAM:습득이 느리게 증가한다. 
25,낙관적,;ABL:봉사정신을 올리기 쉽다. PALAM:억울이 느리게 증가한다. 
26,비관적,;ABL:봉사정신을 올리기 쉽다. PALAM:억울이 빠르게 증가한다. 
27,일선넘지않음,;모든 ABL을 올리기 어렵다.
28,눈에띄고싶어함,;커맨드를 실행하기 쉽다. ABL:노출벽을 올리기 쉽다. 
;,,
;소녀 감성,,
30,정조관념,;정애계 조교의 효과가 낮다. PALAM:반감이 빠르게 증가한다. 
31,정조관부실,;정애계 조교의 효과가 낮다. PALAM:반감이 느리게 증가한다. 
32,억압,;커맨드를 실행하기 어렵다. 매각시 욕망4 이상 필요. PALAM:욕정이 느리게 증가한다. PALAM:반감이 빠르게 증가한다. 
33,해방,;ABL:마조끼와 레즈끼를 올리기 쉽다. PALAM:욕정과 굴복이 빠르게 증가한다. 
34,저항,;커맨드를 실행하기 어렵다. 매각시 욕망4 이상 필요. PALAM:욕정이 느리게 증가한다. PALAM:반감이 빠르게 증가한다. 
35,수줍음,;커맨드를 실행하기 어렵다. 노출계의 효과가 높다. 
36,수치심없음,;노출계의 효과가 낮다. 
37,약점,;커맨드를 실행하기 쉽다. 
;,,
;체질,,
40,아픔에약함,;PALAM:공포와 반감이 빠르게 증가한다. ABL:마조끼가 있다면 SM계 조교로 PALAM:욕정이 오르기 쉽다. 
41,아픔에강함,;PALAM:공포와 반감이 느리게 증가한다. 
42,젖기쉬움,;PALAM:윤활이 빠르게 증가한다. 
43,젖기어려움,;PALAM:윤활이 느리게 증가한다. 
44,울보,;미구현 체질. 
45,울지않음,;미구현 체질. 
46,약물중독,;미약 사용시 기력, 체력 소비 경감 및 효과 증대. 미약을 사용하지 않을 시 7일 주기로 금단 증상 발생. 
47,정액미각,;정액을 마시는 것만으로 절정해버리는 체질. ABL:정액중독을 올리기 쉽다. 
